parameter_name,display_name_zh,display_name_en,category_zh,data_type,allowed_values,allowed_values_zh,default_value,default_value_zh,ui_control_type,readiness_status,lock_status,warning_level,assumption_burden_score,source_basis,sponsor_confirmation_needed,downstream_engine_field,user_tooltip_zh,technical_note_en,mode
sample_size,总样本量,Sample size,试验设计,integer,1200|1500|1800|2000,1200、1500、1800、2000,1200,1200例,stepper,ready,editable,none,1,Step16X validated grid,no,trial.total_n,当前规划锚点为1200例；超出验证范围将提示外推风险。,Validated scenario grid,basic
allocation,随机分配比例,Allocation ratio,试验设计,enum,1:1|2:1,1:1、2:1,1:1,1:1,segmented,ready_with_warning,editable,medium,2,BZP2607 draft/Step16X,yes,trial.allocation,当前草案为1:1；Step16X中2:1的基础情景成功概率较低。,2:1 sensitivity only,basic
effect_shrinkage,效应折减,Effect shrinkage,效应假设,number,0|0.25|0.50|0.75|0.90,0%、25%、50%、75%、90%,0.5,50%,slider,ready_with_warning,editable,high,3,Step16W/X,yes,effect.shrinkage,默认按II期观察效应折减50%；无折减场景假设负担高。,RD-scale shrinkage,basic
endpoint_hierarchy,终点层级,Endpoint hierarchy,终点,enum,mrs_primary_only|mrs_primary_nihss_supportive|hierarchical_key_secondary|co_primary,mRS主要；mRS主要+NIHSS支持；层级关键次要；共同主要,mrs_primary_nihss_supportive,mRS主要+NIHSS支持,select,ready_with_warning,editable,high,3,Step17A,yes,endpoint.endpoint_hierarchy,支持性NIHSS不改变mRS主要终点正式成功概率。,Hierarchy/multiplicity required,basic
NIHSS_supportive_endpoint,NIHSS支持性终点,NIHSS supportive endpoint,终点,enum,day14_nihss_response|day14_nihss_change,Day14 NIHSS应答、Day14 NIHSS较基线变化,day14_nihss_response,Day14 NIHSS应答,select,ready,editable,none,1,Step17A,no,endpoint.supportive_endpoint,用于支持证据一致性，不增加主要终点正式成功概率。,Supportive only by default,basic
primary_analysis_method,主要分析方法,Primary analysis method,统计分析,enum,unadjusted_newcombe_wilson_rd|nihss_stratified_rd_cmh_like|covariate_adjusted_logistic|covariate_adjusted_marginal_rd,未调整风险差、分层风险差、协变量调整Logistic、边际标准化风险差,unadjusted_newcombe_wilson_rd,未调整Newcombe/Wilson风险差,select,ready_with_warning,editable,high,3,Step17B,yes,success_criterion.analysis_method,调整分析可能提高效率，但必须在揭盲前预先写入SAP。,Adjusted methods sensitivity,basic
simulation_replicates,模拟次数,Simulation replicates,模拟,integer,5000|10000,5000、10000,10000,10000次,select,ready,editable,none,1,Step16-17,no,simulation.n_simulations,主要场景默认10000次；同时报告蒙特卡洛标准误。,Main scenarios 10k,basic
simulation_method,模拟方法,Simulation method,模拟,enum,monte_carlo|bayesian_assurance,蒙特卡洛模拟、贝叶斯保证概率,monte_carlo,蒙特卡洛模拟,segmented,ready_with_warning,editable,high,3,Step17/guardrail,yes,simulation.method_type,贝叶斯方法仅限高级探索，阈值和先验尚未确认。,Bayesian advanced only,basic
endpoint,主要终点,Primary endpoint,终点,enum,day90_mrs01|day90_mrs02|day90_mrs_ordinal,Day90 mRS 0–1、mRS 0–2、mRS位移,day90_mrs01,Day90 mRS 0–1应答,select,ready_with_warning,editable,high,3,BZP2607 draft/Step16X,yes,endpoint.primary_endpoint,默认终点为Day90 mRS 0–1；mRS 0–2信号较弱。,mRS01 draft aligned,basic
dose,试验剂量,Dose,试验设计,enum,BZP 400mg BID,BZP 400mg，每日2次,BZP 400mg BID,BZP 400mg，每日2次,readonly,ready,locked,none,1,BZP2607 synopsis,no,trial.dose,当前III期草案剂量。,Draft confirmed,basic
comparator,对照,Comparator,试验设计,enum,placebo,安慰剂,placebo,安慰剂,readonly,ready,locked,none,1,BZP2607 synopsis,no,trial.comparator,当前III期草案对照。,Draft confirmed,basic
population,模拟人群,Population,人群,enum,phase2_2026_allcomers|partial_bzp2607_like|analyst_assumed_full_bzp2607_like,Phase2_2026-like全人群、部分可重建BZP2607-like、分析者假设完整BZP2607-like,phase2_2026_allcomers,Phase2_2026-like全人群,select,ready_with_warning,editable,high,4,Step16X,yes,trial.population,完整BZP2607目标人群无法从II期数据可靠重建。,All-comers default,basic
