warning_id,severity,trigger,display_zh,placement
W001,critical,always,该模型内部验证表现弱，且差于仅使用总体发生率的基准：Brier 0.2581 vs 0.2503，log loss 0.7095 vs 0.6937，AUC 0.445。,结果页顶部固定区+方法页
W002,critical,always,复发模型仅基于31名结局可评价者（16例复发、15例未复发），样本量和事件数均很小。,结果页顶部固定区+数据支持页
W003,high,always,二期以D24治愈者为复发分析来源，三期目标流程使用D21治愈；存在访视和人群转运差异。,结果页固定区+方法页
W004,critical,always,输出是探索性情景估计，不是经验证的个人真实复发概率，也不用于诊断、治疗、入组或排除。,输入页确认区+结果页顶部固定区
W005,critical,always,相对偏低情景不得用于降低标准随访、减少检查或减弱临床关注。,结果页固定区
W006,high,support_grade_B,该参数组合在二期来源数据中较稀疏或含可选项缺失；数值允许展示，但稳定性可能更低。,结果主卡+数据支持卡
W007,critical,support_grade_C,该结果包含年龄外推；二期数据未覆盖这一年龄区间，输出主要受模型形式和先验假设影响。,结果主卡顶部，不可折叠
W008,high,numeric_result,95%区间仅传播当前参数后验不确定性，未完整包含模型选择、D24到D21转运和外部验证缺失的不确定性。,区间旁+方法页
W009,high,d21_pending,D104复发结果以未来达到D21治愈为条件；当前仅可作为条件情景查看。,结果主卡
W010,info,d21_not_cured,未达到D21治愈时，按当前三期主要复发流程，D104复发情景不适用。,结果主卡
W011,high,anchors_only,当前输入不满足计算契约；仅展示二期人群观察锚点，不生成调整后情景数值。,结果主卡
W012,high,clinical_assumption_mode,临床假设模式尚无经确认的参数注册表，因此不可启用。,模式选择区
W013,critical,always,工具不输出治疗建议、三期成功率、受试者排序或富集入组结论。,页脚固定声明+方法页
W014,critical,always,尚无成熟、受治理的三期外部验证；不得将本工具描述为准确或临床有效。,结果页顶部固定区+方法页
